"lp";"kod";"obszar";"iteracja";"nazwa_przeplywu";"typ";"profil";"target_end_time";"critical_end_time";"wersja";"opis_pliku";"sciezka_pliku";"zrodlo";"kontakt";"popup_html";"uwagi";"confluence_storage"
"21";"FID2-645";"IDCC(b) - Individual Validation";"IDCC(b)";"Initial FB Domain (RefProg Bal)";"645";"MIN";"20:40";"21:05";"1";"Initial FB Domain (Virgin / RefProg Bal, FID2-645) — początkowa domena Flow-Based. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Perun4V / proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-645 — Initial FB Domain (RefProg Bal) (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Initial FB Domain (Virgin / RefProg Bal, FID2-645) — początkowa domena Flow-Based. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V / proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"22";"FID2-882";"IDCC(b) - Individual Validation";"IDCC(b)";"Initial Intraday ATCs";"882";"MIN";"20:30";"20:50";"1";"Initial Intraday ATCs (FID2-882) — początkowe wartości ATC dla intraday; wejście walidacji ATC. Składowa paczki.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-882 — Initial Intraday ATCs (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Initial Intraday ATCs (FID2-882) — początkowe wartości ATC dla intraday; wejście walidacji ATC. Składowa paczki.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:30 &nbsp; <strong>CET:</strong> 20:50 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"23";"RAP_PERUN_ID2";"IDCC(b) - Individual Validation";"IDCC(b)";"Raporty ID2 z Perun";"RAP";"SFTP";"21:30";"21:33";"1";"Raporty z Perun (RAP_PERUN_ID2) — raporty walidacyjne z procesu Perun4V (charakter informacyjny).";"Perun4V [N03] → kdm6 [N11] / MinIO [N04]";"Perun4V (N03)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">RAP_PERUN_ID2 — Raporty ID2 z Perun (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Raporty z Perun (RAP_PERUN_ID2) — raporty walidacyjne z procesu Perun4V (charakter informacyjny).</p><p><strong>Ścieżka pliku:</strong> Perun4V [N03] → kdm6 [N11] / MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V (N03) &nbsp;|&nbsp; <strong>Profil:</strong> SFTP &nbsp;|&nbsp; <strong>TET:</strong> 21:30 &nbsp; <strong>CET:</strong> 21:33 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"24";"FID2-701_ATC";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"Vertices of Initial FB Domain/CB Validation file ATC";"701_ATC";"MIN";"20:40";"21:05";"1";"Vertices / CB Validation file ATC (FID2-701_ATC) — wierzchołki domeny / plik walidacji CB dla ścieżki ATC. Składowa paczki ATC.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Perun4V";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-701_ATC — Vertices of Initial FB Domain/CB Validation file ATC (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Vertices / CB Validation file ATC (FID2-701_ATC) — wierzchołki domeny / plik walidacji CB dla ścieżki ATC. Składowa paczki ATC.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"25";"FID2-632";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"Reference Program (RefProg)";"632";"MIN";"20:40";"21:05";"3";"Reference Program (RefProg, FID2-632) — program referencyjny: planowane salda wymiany międzyobszarowej. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-632 — Reference Program (RefProg) (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Reference Program (RefProg, FID2-632) — program referencyjny: planowane salda wymiany międzyobszarowej. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 3</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"26";"FID2-645";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"Initial FB Domain (RefProg Bal)";"645";"MIN";"20:40";"21:05";"1";"Initial FB Domain (Virgin / RefProg Bal, FID2-645) — początkowa domena Flow-Based. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Perun4V / proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-645 — Initial FB Domain (RefProg Bal) (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Initial FB Domain (Virgin / RefProg Bal, FID2-645) — początkowa domena Flow-Based. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V / proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"27";"FID2-882";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"Initial Intraday ATCs";"882";"MIN";"20:30";"20:50";"1";"Initial Intraday ATCs (FID2-882) — początkowe wartości ATC dla intraday; wejście walidacji ATC. Składowa paczki.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-882 — Initial Intraday ATCs (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Initial Intraday ATCs (FID2-882) — początkowe wartości ATC dla intraday; wejście walidacji ATC. Składowa paczki.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:30 &nbsp; <strong>CET:</strong> 20:50 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"28";"PERUN_ID2_ATC";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"AGR Paczka ZIP_ATC ID2 do Perun";"PERUN_ATC";"2MS";"20:40";"21:05";"1";"AGR Paczka ZIP_ATC (PERUN_ID2_ATC) — paczka wejściowa dla odrębnej ścieżki walidacji domeny ATC.";"Agregacja składowych → MinIO [N04] / sFTP [N12] → Perun4V [N03]";"agregacja";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">PERUN_ID2_ATC — AGR Paczka ZIP_ATC ID2 do Perun (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> AGR Paczka ZIP_ATC (PERUN_ID2_ATC) — paczka wejściowa dla odrębnej ścieżki walidacji domeny ATC.</p><p><strong>Ścieżka pliku:</strong> Agregacja składowych → MinIO [N04] / sFTP [N12] → Perun4V [N03]</p><p><strong>Źródło:</strong> agregacja &nbsp;|&nbsp; <strong>Profil:</strong> 2MS &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"29";"FID2-610";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"Merged Generation and Load Shift Keys (GLSK)";"610";"MIN";"20:40";"21:05";"1";"Merged GLSK (FID2-610) — scalone GLSK wszystkich TSO regionu Core. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-610 — Merged Generation and Load Shift Keys (GLSK) (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Merged GLSK (FID2-610) — scalone GLSK wszystkich TSO regionu Core. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"30";"FID2-620";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"Merged DACF/IDCF Common Grid Model (CGM)";"620";"MIN";"20:40";"21:05";"5";"Merged DACF/IDCF Common Grid Model (CGM, FID2-620) — scalony wspólny model sieci zbudowany z modeli indywidualnych (IGM) TSO. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core / Kreator";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-620 — Merged DACF/IDCF Common Grid Model (CGM) (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Merged DACF/IDCF Common Grid Model (CGM, FID2-620) — scalony wspólny model sieci zbudowany z modeli indywidualnych (IGM) TSO. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core / Kreator &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 5</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"31";"FID2-632";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"Reference Program (RefProg)";"632";"MIN";"20:40";"21:05";"3";"Reference Program (RefProg, FID2-632) — program referencyjny: planowane salda wymiany międzyobszarowej. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-632 — Reference Program (RefProg) (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Reference Program (RefProg, FID2-632) — program referencyjny: planowane salda wymiany międzyobszarowej. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 3</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"32";"FID2-645";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"Initial FB Domain (Virgin RefProg Bal)";"645";"MIN";"20:40";"21:05";"1";"Initial FB Domain (Virgin / RefProg Bal, FID2-645) — początkowa domena Flow-Based. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Perun4V / proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-645 — Initial FB Domain (Virgin RefProg Bal) (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Initial FB Domain (Virgin / RefProg Bal, FID2-645) — początkowa domena Flow-Based. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V / proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"33";"FID2-657";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"Real Generation and Load Shift Keys (GLSK)";"657";"MIN";"20:40";"21:05";"1";"Real GLSK (FID2-657) — rzeczywiste klucze GLSK (po dostosowaniu do bieżącego stanu). Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Kreator";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-657 — Real Generation and Load Shift Keys (GLSK) (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Real GLSK (FID2-657) — rzeczywiste klucze GLSK (po dostosowaniu do bieżącego stanu). Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Kreator &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"34";"FID2-659";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"CGM Data Quality Check";"659";"MIN";"20:40";"21:05";"1";"CGM Data Quality Check (FID2-659) — raport kontroli jakości danych scalonego modelu CGM. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-659 — CGM Data Quality Check (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> CGM Data Quality Check (FID2-659) — raport kontroli jakości danych scalonego modelu CGM. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"35";"FID2-665";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"Individual Filtered Critical Branches (CB)";"665";"MIN";"20:40";"21:05";"1";"Individual Filtered Critical Branches (CB, FID2-665) — indywidualne, przefiltrowane gałęzie krytyczne PSE. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Kreator";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-665 — Individual Filtered Critical Branches (CB) (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Individual Filtered Critical Branches (CB, FID2-665) — indywidualne, przefiltrowane gałęzie krytyczne PSE. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Kreator &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"36";"FID2-701_ATC";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"Vertices of Initial FB Domain/CB Validation file ATC";"701_ATC";"MIN";"20:40";"21:05";"1";"Vertices / CB Validation file ATC (FID2-701_ATC) — wierzchołki domeny / plik walidacji CB dla ścieżki ATC. Składowa paczki ATC.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Perun4V";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-701_ATC — Vertices of Initial FB Domain/CB Validation file ATC (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Vertices / CB Validation file ATC (FID2-701_ATC) — wierzchołki domeny / plik walidacji CB dla ścieżki ATC. Składowa paczki ATC.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"37";"XID_RA";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"Plik ze środkami zaradczymi z aplikacji KreatorDACF_CGMES";"RA";"MIN";"20:40";"21:05";"3";"Plik ze środkami zaradczymi (RA, XID_RA) — remedial actions wygenerowane w Kreatorze; publikowane razem z GLSK/CBCORA i jako składowa paczki.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"KreatorIDCF (N08)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">XID_RA — Plik ze środkami zaradczymi z aplikacji KreatorDACF_CGMES (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Plik ze środkami zaradczymi (RA, XID_RA) — remedial actions wygenerowane w Kreatorze; publikowane razem z GLSK/CBCORA i jako składowa paczki.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> KreatorIDCF (N08) &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 3</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"38";"FID2-710_ATC";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"IVA_ATC";"710_ATC";"MIN";"21:40";"22:05";"1";"IVA_ATC (FID2-710_ATC) — IVA dla odrębnej ścieżki walidacji domeny ATC.";"Perun4V [N03] → MinIO [N04] / Connector 2.0 [N05] → CCM [N01]";"Perun4V (N03)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-710_ATC — IVA_ATC (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> IVA_ATC (FID2-710_ATC) — IVA dla odrębnej ścieżki walidacji domeny ATC.</p><p><strong>Ścieżka pliku:</strong> Perun4V [N03] → MinIO [N04] / Connector 2.0 [N05] → CCM [N01]</p><p><strong>Źródło:</strong> Perun4V (N03) &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 21:40 &nbsp; <strong>CET:</strong> 22:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"39";"RAP_PERUN_ID2_ATC";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"Raporty ID2 ATC z Perun";"RAP";"SFTP";"21:40";"22:05";"1";"Raporty z Perun (RAP_PERUN_ID2_ATC) — raporty walidacyjne z procesu Perun4V (charakter informacyjny).";"Perun4V [N03] → kdm6 [N11] / MinIO [N04]";"Perun4V (N03)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">RAP_PERUN_ID2_ATC — Raporty ID2 ATC z Perun (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Raporty z Perun (RAP_PERUN_ID2_ATC) — raporty walidacyjne z procesu Perun4V (charakter informacyjny).</p><p><strong>Ścieżka pliku:</strong> Perun4V [N03] → kdm6 [N11] / MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V (N03) &nbsp;|&nbsp; <strong>Profil:</strong> SFTP &nbsp;|&nbsp; <strong>TET:</strong> 21:40 &nbsp; <strong>CET:</strong> 22:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"40";"FID2-928";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"ATC Based Validation";"928";"2CCT";"21:40";"22:05";"1";"ATC Based Validation (FID2-928) — plik ZWROTNY: wynik walidacji ATC prowadzonej centralnie w Core CC Tool (strumień odrębny od FBA). NIE jest wysyłany przez TSO; publikowany CCCt → TSO przez Connector 2.0.";"Paczka ATC (PERUN_IDx_ATC) → Core CC Tool [N02] (walidacja ATC) → Connector 2.0 [N05] → CCM [N01]";"Core CC Tool (N02)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"Przyklady_FID2-928_popup.html";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-928 — ATC Based Validation (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> ATC Based Validation (FID2-928) — plik ZWROTNY: wynik walidacji ATC prowadzonej centralnie w Core CC Tool (strumień odrębny od FBA). NIE jest wysyłany przez TSO; publikowany CCCt → TSO przez Connector 2.0.</p><p><strong>Ścieżka pliku:</strong> Paczka ATC (PERUN_IDx_ATC) → Core CC Tool [N02] (walidacja ATC) → Connector 2.0 [N05] → CCM [N01]</p><p><strong>Źródło:</strong> Core CC Tool (N02) &nbsp;|&nbsp; <strong>Profil:</strong> 2CCT &nbsp;|&nbsp; <strong>TET:</strong> 21:40 &nbsp; <strong>CET:</strong> 22:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"41";"FID2-645";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"Initial FB Domain (RefProg Bal)";"645";"MIN";"20:40";"21:05";"1";"Initial FB Domain (Virgin / RefProg Bal, FID2-645) — początkowa domena Flow-Based. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Perun4V / proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-645 — Initial FB Domain (RefProg Bal) (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Initial FB Domain (Virgin / RefProg Bal, FID2-645) — początkowa domena Flow-Based. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V / proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
